item_id,identifier,short_effect
140,yache-berry,Held: Consumed when struck by a super-effective Ice-type attack to halve the damage.
141,chople-berry,Held: Consumed when struck by a super-effective Fighting-type attack to halve the damage.
142,kebia-berry,Held: Consumed when struck by a super-effective Poison-type attack to halve the damage.
143,shuca-berry,Held: Consumed when struck by a super-effective Ground-type attack to halve the damage.
144,coba-berry,Held: Consumed when struck by a super-effective Flying-type attack to halve the damage.
145,payapa-berry,Held: Consumed when struck by a super-effective Psychic-type attack to halve the damage.
146,tanga-berry,Held: Consumed when struck by a super-effective Bug-type attack to halve the damage.
147,charti-berry,Held: Consumed when struck by a super-effective Rock-type attack to halve the damage.
148,kasib-berry,Held: Consumed when struck by a super-effective Ghost-type attack to halve the damage.
149,haban-berry,Held: Consumed when struck by a super-effective Dragon-type attack to halve the damage.
150,colbur-berry,Held: Consumed when struck by a super-effective Dark-type attack to halve the damage.
151,babiri-berry,Held: Consumed when struck by a super-effective Steel-type attack to halve the damage.
152,chilan-berry,Held: Consumed when struck by a Normal-type attack to halve the damage.
153,liechi-berry,Held: Consumed at 1/4 max HP to boost Attack.
154,ganlon-berry,Held: Consumed at 1/4 max HP to boost Defense.
155,salac-berry,Held: Consumed at 1/4 max HP to boost Speed.
156,petaya-berry,Held: Consumed at 1/4 max HP to boost Special Attack.
157,apicot-berry,Held: Consumed at 1/4 max HP to boost Special Defense.
158,lansat-berry,Held: Consumed at 1/4 max HP to boost critical hit ratio by two stages.
159,starf-berry,Held: Consumed at 1/4 max HP to boost a random stat by two stages.
160,enigma-berry,Held: Consumed when struck by a super-effective attack to restore 1/4 max HP.
161,micle-berry,Held: Consumed at 1/4 max HP to boost accuracy of next move by 20%. (Gen IV: Perfect accuracy)
162,custap-berry,Held: Consumed at 1/4 max HP when using a move to go first.
163,jaboca-berry,Held: Consumed to deal 1/8 attacker's max HP when holder is struck by a physical attack.
164,rowap-berry,Held: Consumed to deal 1/8 attacker's max HP when holder is struck by a special attack.
165,bright-powder,Held: Increases the holder's evasion by 1/9 (11 1/9%).
166,white-herb,Held: Resets all lowered stats to normal at end of turn. Consumed after use.
167,macho-brace,"Held: Holder gains double effort values from battles, but has halved Speed in battle."
168,exp-share,Held: Half the experience from a battle is split between Pokémon holding this item.
169,quick-claw,Held: Holder has a 3/16 (18.75%) chance to move first.
170,soothe-bell,Held: Doubles the happiness earned by the holder.
171,mental-herb,"Held: Consumed to cure infatuation. Gen V: Also removes Taunt, Encore, Torment, Disable, and Cursed Body."
172,choice-band,"Held: Increases Attack by 50%, but restricts the holder to only one move."
173,kings-rock,Held: Damaging moves gain a 10% chance to make their target flinch. Traded on a Poliwhirl: Holder evolves into Politoed. Traded on a Slowpoke: Holder evolves into Slowking.
174,silver-powder,Held: Bug-Type moves from holder do 20% more damage.
175,amulet-coin,Held: Doubles the money earned from a battle. Does not stack with Luck Incense.
176,cleanse-tag,Prevents wild encounters of level lower than your party's lead Pokémon.
177,soul-dew,Raises Latias and Latios's Special Attack and Special Defense by 50%.
178,deep-sea-tooth,Doubles Clamperl's Special Attack. Traded on a Clamperl: Holder evolves into Huntail.
179,deep-sea-scale,Doubles Clamperl's Special Defense. Traded on a Clamperl: Holder evolves into Gorebyss.
180,smoke-ball,Held: Allows the Holder to escape from any wild battle.
181,everstone,Held: Prevents level-based evolution from occuring.
182,focus-band,Held: Holder has 10% chance to survive attacks or self-inflicted damage at 1 HP.
183,lucky-egg,Held: Increases EXP earned in battle by 50%.
184,scope-lens,Held: Raises the holder's critical hit ratio by one stage.
185,metal-coat,Held: Steel-Type moves from holder do 20% more damage.
186,leftovers,Held: Restores 1/16 (6.25%) holder's max HP at the end of each turn.
187,dragon-scale,Traded on a Seadra: Holder evolves into Kingdra.
188,light-ball,Doubles Pikachu's Attack and Special Attack. Breed on Pikachu or Raichu: Pichu Egg will have Volt Tackle.
189,soft-sand,Held: Ground-Type moves from holder do 20% more damage.
190,hard-stone,Held: Rock-Type moves from holder do 20% more damage.
191,miracle-seed,Held: Grass-Type moves from holder do 20% more damage.
192,black-glasses,Held: Dark-Type moves from holder do 20% more damage.
193,black-belt,Held: Fighting-Type moves from holder do 20% more damage.
194,magnet,Held: Electric-Type moves from holder do 20% more damage.
195,mystic-water,Held: Water-Type moves from holder do 20% more damage.
196,sharp-beak,Held: Flying-Type moves from holder do 20% more damage.
197,poison-barb,Held: Poison-Type moves from holder do 20% more damage.
198,never-melt-ice,Held: Ice-Type moves from holder do 20% more damage.
199,spell-tag,Held: Ghost-Type moves from holder do 20% more damage.
200,twisted-spoon,Held: Psychic-Type moves from holder do 20% more damage.
201,charcoal,Held: Fire-Type moves from holder do 20% more damage.
202,dragon-fang,Held: Dragon-Type moves from holder do 20% more damage.
203,silk-scarf,Held: Normal-Type moves from holder do 20% more damage.
204,muscle-band,Held: Boosts the damage of physical moves used by the holder by 10%.
205,wise-glasses,Held: Boosts the damage of special moves used by the holder by 1/10 (10%).
206,expert-belt,Held: Holder's Super Effective moves do 20% extra damage.
207,light-clay,Held: Light Screen and Reflect used by the holder last 8 rounds instead of 5.
208,life-orb,"Held: Holder's moves inflict 30% extra damage, but cost 10% max HP."
209,power-herb,Held: Both turns of a two-turn charge move happen at once. Consumed upon use.
210,toxic-orb,Held: Inflicts Toxic on the holder at the end of the turn. Activates after Poison damage would occur.
211,flame-orb,Held: Inflicts Burn on the holder at the end of the turn. Activates after Burn damage would occur.
212,quick-powder,Doubles Ditto's Speed when held. The boost is lost after transforming.
213,focus-sash,"Held: Holder survives any single-hit attack at 1 HP if at max HP, then the item is consumed."
214,zoom-lens,Held: Provides a 1/5 (20%) boost in accuracy if the holder moves after the target.
215,metronome,Held: Consectutive uses of the same attack have a cumulative damage boost of 10%. Maximum 100% boost.
216,iron-ball,"Held: Holder's Speed is halved. Negates all Ground-type immunities, and makes Flying-types take neutral damage from Ground-type moves. Arena Trap. Spikes, and Toxic Spikes affect the holder."
217,lagging-tail,Held: Holder moves last in its priority bracket.
